Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
EY_0	Eye	EY	0	epi	EY_0_retinal progenitor cell	Eye retinal progenitor cell	retinal progenitor cell	12	10546	1747	1304	5474.5	8.5635	0.355952425	CRB1+	#ff9f0f	#11A579	Eye_c0
BR_1	Brain	BR	1	epi	BR_1_dorsal radial glia	Brain dorsal radial glia	dorsal radial glia	13	9436	5506	2694.5	3350	9.777	0.342484292	VIM+ TOP2A+ (cycling) MOXD1+; EMX1/2+ indicating likely dorsal	#0C727C	#11A579	Brain_c1
BR_15	Brain	BR	15	epi	BR_15_oligodendrocyte precursor cells	Brain oligodendrocyte precursor cells	oligodendrocyte precursor cells	14	1070	5853.5	2692	3057	8.048	0.277455188	NOVA1 SOX6 LHFPL3 OPCML+ although lacking canonical PDGFRA OLIG2	#0C727C	#11A579	Brain_c15
EY_8	Eye	EY	8	epi	EY_8_cone	Eye cone	neurons	15	2592	2059.5	1438	4681	8.627	0.319301794	THRB, PRDM1 +	#ff9f0f	#11A579	Eye_c8
EY_2	Eye	EY	2	epi	EY_2_rod	Eye rod	neurons	16	6100	1139.5	917	4668.5	9.512	0.324145577	rod ANO2+ NR2E3+	#ff9f0f	#11A579	Eye_c2
EY_7	Eye	EY	7	epi	EY_7_bipolar	Eye bipolar	neurons	17	2907	1305	1000	5283	9.281	0.327515723	GRIK1 CA10 NRXN3 oncone/offcone bipolar	#ff9f0f	#11A579	Eye_c7
ST_9	StomachEsophagus	ST	9	epi	ST_9_enteric neurons	StomachEsophagus enteric neurons	neurons	18	4256	2897.5	1811	7484.5	7.791	0.305196728	DSCAM+ CHAT+ NOS1+ NRG1+	#208A42	#11A579	Stomach_c9
AG_4	Adrenal	AG	4	epi	AG_4_sympathoadrenal lineage 1	Adrenal sympathoadrenal lineage	neurons	19	155	5262	2564	4425	10.139	0.210446467	PHOX2A/B+ ISL1+ GATA3+; likely mix of chromaffin cells and sympathoblasts from all samples	#876941	#11A579	Adrenal_c4
AG_8	Adrenal	AG	8	epi	AG_8_sympathoadrenal lineage 2	Adrenal sympathoadrenal lineage	neurons	20	29	5121	2596	3915	8.737	0.207317073	PHOX2A/B+ ISL1+ GATA3+; likely mix of chromaffin cells and sympathoblasts from all samples	#876941	#11A579	Adrenal_c8
BR_14	Brain	BR	14	epi	BR_14_excitatory neurons 8	Brain excitatory neurons	neurons	21	2996	4389	2140.5	1770.5	8.3715	0.26135371	CUX2+ excitatory neurons	#0C727C	#11A579	Brain_c14
